Designator,Mid X,Mid Y,Rotation,Layer
D1,331.0,-191.325,90.0,top
D2,333.0,-191.325,90.0,top
D_0,50.7488,-136.2817,90.0,bottom
D_1,88.7938,-136.3017,90.0,bottom
D_10,279.3438,-136.3017,90.0,bottom
D_11,298.3938,-136.3017,90.0,bottom
D_12,317.4188,-136.2767,90.0,bottom
D_13,341.45,-136.3,90.0,bottom
D_14,360.2688,-136.3017,90.0,bottom
D_15,362.8188,-136.3017,90.0,bottom
D_16,50.8438,-159.6517,90.0,bottom
D_17,69.8938,-159.6517,90.0,bottom
D_18,88.9438,-159.6517,90.0,bottom
D_19,107.9938,-159.6517,90.0,bottom
D_2,107.8688,-136.3017,90.0,bottom
D_20,127.0438,-159.6517,90.0,bottom
D_21,146.0938,-159.6517,90.0,bottom
D_22,165.1438,-159.6517,90.0,bottom
D_23,184.1938,-159.6517,90.0,bottom
D_24,203.2438,-159.6517,90.0,bottom
D_25,222.2938,-159.6517,90.0,bottom
D_26,241.3438,-159.6517,90.0,bottom
D_27,260.3938,-159.6517,90.0,bottom
D_28,279.4438,-159.6517,90.0,bottom
D_29,305.6188,-157.8267,90.0,bottom
D_3,126.9188,-136.3017,90.0,bottom
D_30,336.5938,-159.6517,90.0,bottom
D_31,355.6438,-159.6517,90.0,bottom
D_32,358.0188,-159.6517,90.0,bottom
D_33,55.605,-178.6517,90.0,bottom
D_34,79.3688,-178.6517,90.0,bottom
D_35,98.4188,-178.6517,90.0,bottom
D_36,117.4688,-178.6517,90.0,bottom
D_37,136.5188,-178.6517,90.0,bottom
D_38,155.5688,-178.6517,90.0,bottom
D_39,174.6188,-178.6517,90.0,bottom
D_4,145.9938,-136.3017,90.0,bottom
D_40,193.6688,-178.6517,90.0,bottom
D_41,212.7188,-178.6517,90.0,bottom
D_42,231.7688,-178.6517,90.0,bottom
D_43,250.8188,-178.6517,90.0,bottom
D_44,269.8688,-178.6517,90.0,bottom
D_45,288.9188,-178.6517,90.0,bottom
D_46,312.7188,-186.3517,90.0,bottom
D_47,338.9188,-175.9017,90.0,bottom
D_48,358.0688,-176.0117,90.0,bottom
D_49,360.5688,-176.0117,90.0,bottom
D_5,174.5438,-136.2767,90.0,bottom
D_50,58.0285,-184.3517,270.0,bottom
D_51,84.2688,-184.3517,270.0,bottom
D_52,103.3188,-184.3517,270.0,bottom
D_53,122.3688,-184.3517,270.0,bottom
D_54,141.4188,-184.3517,270.0,bottom
D_55,160.4688,-184.3517,270.0,bottom
D_56,179.5188,-184.3517,270.0,bottom
D_57,198.5688,-184.3517,270.0,bottom
D_58,217.6188,-184.3517,270.0,bottom
D_59,236.6688,-184.3517,270.0,bottom
D_6,193.6188,-136.3017,90.0,bottom
D_60,255.7188,-184.3517,270.0,bottom
D_61,274.7688,-184.3517,270.0,bottom
D_62,293.8188,-184.3517,270.0,bottom
D_63,50.7688,-214.9517,90.0,bottom
D_64,72.2188,-214.9517,90.0,bottom
D_65,91.2188,-214.9517,90.0,bottom
D_66,110.3188,-214.9517,90.0,bottom
D_67,129.3688,-214.9517,90.0,bottom
D_68,148.4188,-214.9517,90.0,bottom
D_69,167.4688,-214.9517,90.0,bottom
D_7,212.7188,-136.3017,90.0,bottom
D_70,186.5188,-214.9517,90.0,bottom
D_71,205.5688,-214.9517,90.0,bottom
D_72,208.1438,-214.9517,90.0,bottom
D_73,243.6688,-214.9517,90.0,bottom
D_74,262.7188,-214.9517,90.0,bottom
D_75,298.2688,-214.7767,90.0,bottom
D_76,357.9688,-214.9517,90.0,bottom
D_77,55.6563,-234.3017,90.0,bottom
D_78,79.4688,-234.3017,90.0,bottom
D_79,103.2813,-234.3017,90.0,bottom
D_8,231.7188,-136.3017,90.0,bottom
D_80,172.3438,-234.3017,90.0,bottom
D_81,246.1563,-234.3017,90.0,bottom
D_82,269.9688,-234.3017,90.0,bottom
D_83,293.7813,-234.3017,90.0,bottom
D_84,317.5938,-234.3017,90.0,bottom
D_85,336.6438,-234.3017,90.0,bottom
D_86,355.6938,-234.3017,90.0,bottom
D_87,358.0938,-234.3017,90.0,bottom
D_9,260.2938,-136.3017,90.0,bottom
J1,237.7688,-123.3767,180.0,bottom
K_0,42.4688,-129.2517,0.0,top
K_1,80.5788,-129.2517,0.0,top
K_10,271.0938,-129.2517,0.0,top
K_11,290.1438,-129.2517,0.0,top
K_12,309.1938,-129.2517,0.0,top
K_13,332.9938,-129.2517,0.0,top
K_14,352.0438,-129.2517,0.0,top
K_15,371.0938,-129.2517,0.0,top
K_16,42.7088,-153.3017,0.0,top
K_17,61.7588,-153.3017,0.0,top
K_18,80.8088,-153.3017,0.0,top
K_19,99.8588,-153.3017,0.0,top
K_2,99.6288,-129.2517,0.0,top
K_20,118.9088,-153.3017,0.0,top
K_21,137.9588,-153.3017,0.0,top
K_22,157.0088,-153.3017,0.0,top
K_23,176.0588,-153.3017,0.0,top
K_24,195.1088,-153.3017,0.0,top
K_25,214.1588,-153.3017,0.0,top
K_26,233.2088,-153.3017,0.0,top
K_27,252.2588,-153.3017,0.0,top
K_28,271.3088,-153.3017,0.0,top
K_29,299.8838,-153.3017,0.0,top
K_3,118.6788,-129.2517,0.0,top
K_30,333.2188,-153.3017,0.0,top
K_31,352.2688,-153.3017,0.0,top
K_32,371.3188,-153.3017,0.0,top
K_33,47.4788,-172.3417,0.0,top
K_34,71.2913,-172.3417,0.0,top
K_35,90.3413,-172.3417,0.0,top
K_36,109.3913,-172.3417,0.0,top
K_37,128.4413,-172.3417,0.0,top
K_38,147.4913,-172.3417,0.0,top
K_39,166.5413,-172.3417,0.0,top
K_4,137.7388,-129.2417,0.0,top
K_40,185.5913,-172.3417,0.0,top
K_41,204.6413,-172.3417,0.0,top
K_42,223.6913,-172.3417,0.0,top
K_43,242.7413,-172.3417,0.0,top
K_44,261.7913,-172.3417,0.0,top
K_45,280.8413,-172.3417,0.0,top
K_46,307.0288,-181.8717,0.0,top
K_47,333.2188,-172.3517,0.0,top
K_48,352.2688,-172.3517,0.0,top
K_49,371.3188,-172.3517,0.0,top
K_5,166.3088,-129.2417,0.0,top
K_50,49.8488,-191.3917,0.0,top
K_51,76.04255,-191.3917,0.0,top
K_52,95.09255,-191.3917,0.0,top
K_53,114.14255,-191.3917,0.0,top
K_54,133.19255,-191.3917,0.0,top
K_55,152.24255,-191.3917,0.0,top
K_56,171.29255,-191.3917,0.0,top
K_57,190.34255,-191.3917,0.0,top
K_58,209.39255,-191.3917,0.0,top
K_59,228.44255,-191.3917,0.0,top
K_6,185.3688,-129.2517,0.0,top
K_60,247.49255,-191.3917,0.0,top
K_61,266.54255,-191.3917,0.0,top
K_62,285.59255,-191.3917,0.0,top
K_63,45.0788,-210.4517,0.0,top
K_64,66.51005,-210.4517,0.0,top
K_65,85.56005,-210.4517,0.0,top
K_66,104.61005,-210.4517,0.0,top
K_67,123.66005,-210.4517,0.0,top
K_68,142.71005,-210.4517,0.0,top
K_69,161.76005,-210.4517,0.0,top
K_7,204.4188,-129.2517,0.0,top
K_70,180.81005,-210.4517,0.0,top
K_71,199.86005,-210.4517,0.0,top
K_72,218.91005,-210.4517,0.0,top
K_73,237.96005,-210.4517,0.0,top
K_74,257.01005,-210.4517,0.0,top
K_75,292.7288,-210.4517,0.0,top
K_76,352.2688,-210.4517,0.0,top
K_77,45.0888,-229.4917,0.0,top
K_78,68.9013,-229.4917,0.0,top
K_79,92.7138,-229.4917,0.0,top
K_8,223.4688,-129.2517,0.0,top
K_80,164.1438,-229.4767,0.0,top
K_81,235.5888,-229.4917,0.0,top
K_82,259.4013,-229.4917,0.0,top
K_83,283.2138,-229.4917,0.0,top
K_84,307.0263,-229.4917,0.0,top
K_85,333.2188,-229.5017,0.0,top
K_86,352.2688,-229.5017,0.0,top
K_87,371.3188,-229.5017,0.0,top
K_9,252.0438,-129.2517,0.0,top
R1,351.5,-178.0,0.0,bottom
R2,351.5,-176.949999,0.0,bottom
R5,234.95,-132.275,90.0,bottom
R6,240.125,-130.625,90.0,bottom
RPI1,350.6563,-191.3267,90.0,bottom
SW101,379.07,-209.69,90.0,bottom
SW102,379.07,-201.825,90.0,bottom
